"from","to","value"
"Bcry","BC","0.209025017061313"
"GRMZM2G037335","GRMZM2G314546","0.201136333635798"
"GRMZM2G375675","GRMZM2G314546","0.176353630850336"
"GRMZM2G314546","AC203754.4_FG008","0.161956046552666"
"GRMZM2G375675","GRMZM5G871419","0.161466903065587"
"GRMZM5G871419","GRMZM2G314546","0.156491753495262"
"GRMZM2G131907","GRMZM2G301208","0.137000337926505"
"GRMZM2G032222","GRMZM2G314546","0.13581609782223"
"GRMZM2G037335","GRMZM5G871419","0.131507809588437"
"GRMZM2G377904","GRMZM2G101938","0.131086670900142"
"ZEA","Bcry","0.126254866202193"
"GRMZM2G375675","AC203754.4_FG008","0.115948728877682"
"GRMZM2G377904","GRMZM2G340807","0.113075262743288"
"GRMZM2G314546","GRMZM2G072850","0.109302222867016"
"LUT","AC","0.108985874500415"
"GRMZM2G131907","GRMZM2G089491","0.106056686189931"
"GRMZM2G108457","GRMZM5G871419","0.10436133127381"
"GRMZM2G174949","GRMZM2G072850","0.103039477861349"
"GRMZM2G037335","AC203754.4_FG008","0.102462879815674"
"GRMZM2G109547","GRMZM2G028129","0.101090041851077"
"GRMZM2G104955","GRMZM2G375675","0.0984819274871336"
"GRMZM2G104955","GRMZM2G149230","0.0948859863271122"
"GRMZM2G037335","GRMZM2G375675","0.0943497919363968"
"GRMZM2G472945","GRMZM2G057690","0.0884134952777394"
"GRMZM2G149230","GRMZM2G167492","0.0882115430151931"
"GRMZM2G104955","GRMZM2G314546","0.0871428570307955"
"GRMZM2G108457","GRMZM2G375675","0.0857202223995457"
"GRMZM2G375675","GRMZM2G072850","0.0846711605557789"
"GRMZM2G037335","GRMZM2G072850","0.0845772180481084"
"GRMZM2G131907","GRMZM2G101938","0.0839050015109804"
"GRMZM2G052111","GRMZM2G072850","0.0827501834514711"
"GRMZM2G104955","GRMZM5G871419","0.0819813230220662"
"GRMZM2G128214","GRMZM2G314546","0.0806704764055726"
"GRMZM2G037335","GRMZM2G128214","0.0790899640256503"
"GRMZM2G340807","GRMZM2G028129","0.0784564666410996"
"GRMZM2G108457","AC203754.4_FG008","0.0780918684189937"
"GRMZM2G149230","GRMZM5G871419","0.077975293349773"
"GRMZM5G871419","AC203754.4_FG008","0.0770283403831394"
"GRMZM2G137375","GRMZM2G068575","0.0720177381560236"
"GRMZM2G108457","GRMZM2G128214","0.0716328882794013"
"AC203754.4_FG008","GRMZM2G072850","0.0708887037732777"
"GRMZM2G131907","GRMZM2G152373","0.0707843874322709"
"GRMZM2G151706","GRMZM2G301208","0.0703898943601998"
"GRMZM2G377904","GRMZM2G028129","0.0702194392935469"
"GRMZM2G089491","GRMZM2G314546","0.0695660356303557"
"GRMZM2G108457","GRMZM2G037335","0.0684103466617531"
"GRMZM2G028252","GRMZM2G057690","0.0677691129806894"
"GRMZM2G101938","GRMZM2G072850","0.0668921468220344"
"GRMZM5G856837","GRMZM2G101938","0.0664446312324257"
"GRMZM2G131907","GRMZM2G072850","0.065768310140957"
"GRMZM2G340807","GRMZM2G109547","0.0655833326670384"
"GRMZM2G340807","GRMZM2G327199","0.0652106631727784"
"GRMZM2G377904","GRMZM2G154460","0.0648709798101534"
"GRMZM2G340807","GRMZM2G101938","0.0645684256917632"
"GRMZM2G128214","GRMZM2G419267","0.0638952646605878"
"GRMZM2G377904","GRMZM2G072850","0.0632256363650045"
"GRMZM2G314546","GRMZM2G174949","0.0630744731224843"
"GRMZM2G314546","GRMZM2G068575","0.0626753876421409"
"GRMZM2G101938","GRMZM2G089491","0.0609497399545106"
"GRMZM5G854880","GRMZM2G101938","0.0608652422015247"
"GRMZM2G067350","GRMZM2G149230","0.0595454192471392"
"GRMZM2G089491","GRMZM2G301208","0.0593299696147338"
"GRMZM2G167492","GRMZM2G042488","0.059217400355388"
"GRMZM2G154460","GRMZM2G101938","0.058563061695628"
"GRMZM2G037335","GRMZM2G174949","0.0585628189552352"
"GRMZM2G137375","GRMZM2G116881","0.0582371500850433"
"GRMZM2G154078","GRMZM2G028129","0.0578802918456918"
"GRMZM2G089565","GRMZM2G314546","0.0570925878262357"
"GRMZM2G067350","GRMZM2G167492","0.0569836670213705"
"GRMZM2G108457","GRMZM2G314546","0.0561086365944313"
"GRMZM2G108919","GRMZM2G137375","0.0559718638198332"
"GRMZM2G102779","GRMZM2G017678","0.0556685572479584"
"GRMZM2G429899","GRMZM2G131907","0.0556678912765489"
"GRMZM2G375675","GRMZM2G089565","0.0552924814638368"
"GRMZM2G377904","GRMZM2G109547","0.0549158945850837"
"GRMZM2G035592","GRMZM2G301208","0.0548099211772831"
"GRMZM2G174949","AC203754.4_FG008","0.0542229228175617"
"GRMZM2G010353","GRMZM2G057690","0.0541435468740884"
"GRMZM2G377904","GRMZM2G154078","0.0540426264297234"
"GRMZM2G088834","GRMZM2G154460","0.053901731753787"
"GRMZM2G032222","GRMZM2G068575","0.0537349896273161"
"GRMZM2G101938","GRMZM2G167492","0.0535331644117461"
"GRMZM2G377904","GRMZM2G167492","0.053531344871195"
"ZEA","BC","0.0529573509187698"
"GRMZM5G854880","GRMZM2G072850","0.0529188784587621"
"GRMZM5G871419","GRMZM2G174949","0.0529026551928677"
"GRMZM2G101938","GRMZM2G301208","0.0526279666478403"
"GRMZM2G088834","GRMZM2G419267","0.0524063588845849"
"GRMZM2G377904","GRMZM2G120069","0.052317076206666"
"GRMZM2G149230","GRMZM2G375675","0.0522538058893302"
"GRMZM2G174236","GRMZM5G871419","0.0522235084471403"
"GRMZM2G108457","GRMZM2G072850","0.0521542496273634"
"GRMZM2G377904","GRMZM5G854880","0.0520823885759234"
"GRMZM2G032222","GRMZM2G037335","0.0518653372742697"
"GRMZM2G137375","GRMZM2G301208","0.0517097644197489"
"GRMZM2G149230","GRMZM2G320298","0.0516263600089875"
"GRMZM2G109547","GRMZM5G854880","0.0507597691115263"
"GRMZM2G128214","AC203754.4_FG008","0.0503321021206915"
"GRMZM2G088834","GRMZM2G101938","0.0502899501798146"
"GRMZM2G419267","GRMZM5G871419","0.0501828741913739"
"GRMZM2G104955","GRMZM2G429899","0.050042323044532"
"GRMZM2G101938","GRMZM2G174236","0.0500068019034901"
"LUT","GRMZM2G300348","0.0495988535620042"
"GRMZM2G012966","GRMZM2G108457","0.0493307160998174"
"GRMZM2G128214","GRMZM5G871419","0.0491618098169452"
"GRMZM2G131907","GRMZM5G856837","0.0489780752338899"
"GRMZM2G377904","GRMZM2G131907","0.048630143996914"
"GRMZM2G472945","GRMZM2G072850","0.0485624940784407"
"GRMZM2G152373","GRMZM2G301208","0.0484291884422209"
"GRMZM2G377904","GRMZM5G856837","0.0481238385545704"
"GRMZM2G108919","GRMZM2G116881","0.0481060711376552"
"GRMZM2G067350","GRMZM5G871419","0.0480774528801228"
"GRMZM5G871419","GRMZM2G072850","0.0480174626662605"
"GRMZM2G131907","GRMZM2G120069","0.0477048429946101"
"GRMZM5G856837","GRMZM2G301208","0.0473949725859682"
"GRMZM2G149442","GRMZM2G314546","0.0466686676682344"
"GRMZM2G149230","GRMZM2G147145","0.0465481703575625"
"GRMZM2G131907","GRMZM2G314546","0.0463019321572766"
"GRMZM2G154460","GRMZM2G301208","0.0460730377202477"
"GRMZM2G012966","GRMZM2G012498","0.0459703206000552"
"GRMZM5G854880","GRMZM2G120069","0.045912285733905"
"GRMZM2G154460","GRMZM2G152373","0.0455934603746015"
"GRMZM2G012966","GRMZM2G320298","0.0451463626634837"
"GRMZM2G012966","GRMZM2G394237","0.0451392771837004"
"GRMZM2G327199","GRMZM2G101938","0.0450423922471688"
"GRMZM2G340807","GRMZM2G154078","0.0449312743050314"
"GRMZM2G021433","GRMZM2G028129","0.0449151363516708"
"GRMZM2G101938","GRMZM2G120069","0.044559360890889"
"GRMZM5G854880","GRMZM2G167492","0.0445436779662225"
"GRMZM2G149230","GRMZM2G331833","0.0442930623487539"
"GRMZM2G032222","GRMZM2G067350","0.0442300723943533"
"GRMZM2G128214","GRMZM2G477340","0.0434471801450829"
"GRMZM2G010353","GRMZM2G375675","0.0434030204648322"
"GRMZM2G340807","GRMZM5G854880","0.0433916383630515"
"GRMZM2G149230","GRMZM2G101938","0.0432340505912616"
"Bcry","GRMZM5G854880","0.0431098246601702"
"GRMZM2G010353","GRMZM2G072850","0.0428793128513599"
"GRMZM2G010353","GRMZM5G871419","0.0427148812688558"
"BC","GRMZM5G854880","0.0426386247411366"
"GRMZM2G472945","GRMZM2G028252","0.042568481276244"
"GRMZM2G375675","GRMZM2G174949","0.0425471192742376"
"GRMZM2G327199","GRMZM2G167492","0.0424772067809809"
"GRMZM2G032222","GRMZM2G331833","0.0423964550657662"
"GRMZM2G152135","GRMZM2G036409","0.042338148749973"
"GRMZM2G035592","GRMZM2G089491","0.0421359408441062"
"GRMZM2G377904","GRMZM2G314546","0.0419069572960194"
"GRMZM2G012966","GRMZM2G020594","0.0418663394902913"
"GRMZM2G174236","GRMZM2G301208","0.041749927333166"
"LUT","GRMZM2G012966","0.0415890409402611"
"GRMZM2G149442","GRMZM2G089565","0.0414568089028626"
"GRMZM2G128214","GRMZM2G375675","0.0413402254681353"
"GRMZM2G104955","GRMZM2G147145","0.041098163987145"
"GRMZM2G177169","GRMZM2G017678","0.0409360173155301"
"GRMZM2G131907","GRMZM2G174236","0.0409211050492996"
"GRMZM5G854880","GRMZM2G028129","0.0408352724252885"
"GRMZM2G036409","GRMZM2G057690","0.0405317904275911"
"GRMZM2G108919","GRMZM2G301208","0.0403858602546322"
"GRMZM2G012966","GRMZM2G072850","0.0403009043972472"
"GRMZM2G152135","GRMZM2G154460","0.0402520521511495"
"GRMZM2G419267","GRMZM2G375675","0.0402180229109602"
"GRMZM2G154460","GRMZM2G131907","0.0398539955597808"
"GRMZM2G126812","GRMZM2G170727","0.0398318687022019"
"GRMZM2G377904","AC203754.4_FG008","0.0395673410721"
"GRMZM2G032222","GRMZM5G871419","0.0395083701628161"
"GRMZM2G037335","GRMZM2G135314","0.0395079509020848"
"GRMZM2G082180","GRMZM2G419267","0.0394590494888861"
"GRMZM2G108457","GRMZM2G419267","0.0394271616144477"
"GRMZM2G340807","GRMZM2G151107","0.0393639278828474"
"GRMZM2G089565","AC203754.4_FG008","0.0391642204548404"
"GRMZM2G377904","GRMZM2G021433","0.0391178008366592"
"GRMZM2G375675","GRMZM2G135314","0.0390098381883494"
"GRMZM2G459432","GRMZM2G314546","0.0389570390213879"
"GRMZM2G088834","GRMZM2G017678","0.0388472181487984"
"GRMZM2G131907","GRMZM2G068575","0.0388025768006737"
"GRMZM2G170351","GRMZM2G320298","0.0387062620070442"
"GRMZM2G300348","GRMZM2G032222","0.0385313378957772"
"GRMZM2G314546","GRMZM2G135314","0.0384948918169446"
"GRMZM2G151706","GRMZM2G089491","0.0383750933066253"
"GRMZM2G175258","GRMZM2G071270","0.0382778922521097"
"GRMZM2G108919","GRMZM2G126812","0.0382096271034096"
"GRMZM2G108457","GRMZM2G472945","0.0379732064236066"
"GRMZM2G088919","GRMZM2G089491","0.037775645865147"
"GRMZM2G152135","GRMZM2G131907","0.0377121669798865"
"GRMZM2G377904","GRMZM2G028252","0.0375569976592051"
"GRMZM2G035592","GRMZM2G152373","0.037368543427775"
"GRMZM2G147145","GRMZM2G167492","0.0373157435811617"
"GRMZM2G126812","GRMZM2G057690","0.0371728363520733"
"GRMZM2G154078","GRMZM2G167492","0.0369137112606503"
"GRMZM2G104955","GRMZM2G419267","0.0368618973421447"
"LUT","GRMZM2G172794","0.0367789136667413"
"GRMZM2G028129","GRMZM2G120069","0.0366361292123583"
"GRMZM2G419267","GRMZM2G174949","0.0366194148371993"
"GRMZM2G149442","GRMZM2G102779","0.0365506536911017"
"GRMZM2G088834","GRMZM2G116881","0.0364504692400864"
"GRMZM2G102779","AC206840.3_FG002","0.0364045175982436"
"GRMZM2G102779","GRMZM2G177169","0.036383017189639"
"GRMZM2G032222","GRMZM2G459432","0.036194134989623"
"BC","GRMZM2G012966","0.0360640127785682"
"GRMZM2G082180","GRMZM2G174236","0.0359777858848141"
"GRMZM2G154460","GRMZM2G017678","0.0358128948815531"
"GRMZM2G167492","GRMZM2G120069","0.035587609075715"
"GRMZM2G128214","GRMZM2G072850","0.035417502181422"
"GRMZM2G377904","GRMZM2G327199","0.0353733746157379"
"GRMZM2G301208","GRMZM2G116881","0.0351184027625574"
"GRMZM2G010353","GRMZM2G174236","0.035087113978101"
"GRMZM2G012498","GRMZM2G072850","0.0350516035622477"
"GRMZM2G104955","AC203754.4_FG008","0.0349604089243784"
"GRMZM2G320298","GRMZM2G157481","0.0349583460022132"
"GRMZM2G301208","GRMZM2G017678","0.0348953204972776"
"GRMZM2G067350","GRMZM2G101938","0.0348873692831075"
"GRMZM2G152373","GRMZM2G101938","0.0344939215748195"
"GRMZM5G871419","GRMZM2G089565","0.0344031829873302"
"GRMZM2G152135","GRMZM2G301208","0.0343854890537922"
"GRMZM2G152135","GRMZM2G017678","0.0342339606705267"
"GRMZM2G154460","GRMZM2G151107","0.0341333244414968"
"GRMZM2G137375","GRMZM2G174236","0.0340114970518008"
"GRMZM2G419267","GRMZM2G174236","0.0339319113124369"
"GRMZM2G152135","GRMZM2G152373","0.0339288043915902"
"GRMZM2G067350","GRMZM2G331833","0.033872429279017"
"GRMZM2G035592","GRMZM2G101938","0.0338002102546921"
"GRMZM2G089565","GRMZM2G072850","0.0335361052070817"
"GRMZM2G170727","GRMZM2G068575","0.0334809619493171"
"GRMZM2G377904","GRMZM2G375675","0.0334193726561739"
"GRMZM2G032222","GRMZM2G137375","0.0331639297424207"
"GRMZM2G131907","GRMZM2G021433","0.0331214520565817"
"GRMZM2G154460","GRMZM2G438438","0.0329340465747179"
"GRMZM2G010353","GRMZM2G419267","0.0328814733225348"
"GRMZM2G310362","GRMZM2G701389","0.0328263211760677"
"GRMZM2G082180","GRMZM5G871419","0.032622953166246"
"GRMZM2G108457","GRMZM2G174949","0.0325958366144867"
"GRMZM2G152373","GRMZM5G856837","0.0325480276400999"
"GRMZM2G149230","GRMZM2G419267","0.0321972662634584"
"GRMZM2G128214","GRMZM2G020594","0.0321769363375945"
"GRMZM2G088919","GRMZM2G131907","0.0320364065057874"
"GRMZM2G362281","GRMZM2G170727","0.032001681235609"
"GRMZM5G856837","GRMZM2G154078","0.0319787055430729"
"Bcry","GRMZM2G167492","0.0318672041861607"
"GRMZM2G108919","GRMZM2G057690","0.0318270768012997"
"GRMZM5G854880","GRMZM2G154078","0.031684664305359"
"GRMZM2G089565","GRMZM2G135314","0.0316504958167035"
"GRMZM2G031568","GRMZM2G075502","0.0315629695273344"
"GRMZM2G100727","GRMZM2G081464","0.0315295565868302"
"GRMZM2G460861","GRMZM2G116881","0.0314369315595897"
"GRMZM2G320298","AC206840.3_FG002","0.0313912255972892"
"GRMZM2G419267","GRMZM2G017678","0.0313462846492675"
"GRMZM2G419267","GRMZM5G838420","0.0311978744046243"
"GRMZM2G089491","GRMZM2G375675","0.0311410192470099"
"GRMZM2G377904","GRMZM2G089491","0.0310784373141321"
"GRMZM2G101938","GRMZM2G028129","0.0308754518044947"
"GRMZM2G104955","GRMZM2G032222","0.030662187624002"
"GRMZM2G131907","GRMZM2G137375","0.0306565517959178"
"GRMZM2G089491","GRMZM2G072850","0.0306412210123618"
"GRMZM2G157481","GRMZM2G068575","0.0305587080290821"
"GRMZM2G419267","GRMZM2G147145","0.0300874474902826"
"GRMZM2G047720","GRMZM2G042506","0.0299149756934501"
"GRMZM2G167492","GRMZM2G042516","0.0297685944707561"
"GRMZM2G032222","GRMZM2G375675","0.0296261932951758"
"GRMZM2G088919","GRMZM2G301208","0.0295854006701832"
"GRMZM2G419267","GRMZM2G314546","0.0293662657332384"
"GRMZM2G037335","GRMZM2G010353","0.0293095588236144"
"GRMZM2G067350","GRMZM2G082180","0.0293011716077642"
"GRMZM2G037335","GRMZM2G438438","0.0292004841895257"
"GRMZM2G300348","AC203754.4_FG008","0.0291798670610495"
"GRMZM2G340807","GRMZM2G154460","0.0291360144402648"
"GRMZM2G036409","GRMZM2G170351","0.0290812661972492"
"GRMZM2G438438","GRMZM2G177169","0.0290488920358598"
"GRMZM5G854880","GRMZM2G327199","0.0288249127719163"
"GRMZM2G701389","GRMZM2G089565","0.0287245691636283"
"GRMZM2G147145","GRMZM2G042506","0.0287139634669277"
"GRMZM2G020594","GRMZM2G419267","0.0286952513601691"
"GRMZM2G151706","GRMZM2G131907","0.0286059569745469"
"GRMZM2G340807","AC203754.4_FG008","0.0285210408453119"
"GRMZM2G149230","GRMZM2G154078","0.0285082115796641"
"GRMZM2G177866","GRMZM2G036409","0.0284700395238369"
"GRMZM5G871419","GRMZM2G135314","0.0284173243344268"
"GRMZM2G067350","GRMZM2G174236","0.0284000035819161"
"GRMZM2G101938","GRMZM2G154078","0.0283942648927301"
"GRMZM2G472945","GRMZM2G108919","0.0280549413468546"
"GRMZM2G142776","GRMZM2G120069","0.028013097164158"
"GRMZM2G362281","GRMZM2G340807","0.0279955319813912"
"GRMZM2G109547","GRMZM2G021433","0.0279595327783254"
"GRMZM2G082180","GRMZM2G314546","0.0279307379116263"
"GRMZM2G108457","GRMZM2G010353","0.0279066204076471"
"GRMZM2G104955","GRMZM2G167492","0.0278460520575113"
"AC","GRMZM2G109959","0.0277875756070927"
"GRMZM2G108919","GRMZM2G174236","0.0277755241048294"
"GRMZM2G174621","GRMZM2G301208","0.0276091567815061"
"GRMZM2G331833","GRMZM2G477340","0.0275398843098473"
"GRMZM2G300348","GRMZM2G314546","0.0274926091495792"
"GRMZM2G109547","GRMZM2G154078","0.0274740928410005"
"GRMZM2G149230","GRMZM5G856837","0.0274631652111235"
"GRMZM2G152135","GRMZM2G170351","0.0274139499260619"
"GRMZM2G082180","GRMZM2G375675","0.0273147357840167"
"GRMZM2G301885","GRMZM2G157481","0.0273098865899419"
"LUT","GRMZM2G170742","0.0273047893905816"
"GRMZM2G340807","GRMZM2G167492","0.0272791504447009"
"GRMZM2G377904","GRMZM2G151107","0.0272755458437365"
"GRMZM2G167492","GRMZM2G028129","0.0272498447893838"
"GRMZM2G419267","GRMZM2G052111","0.0272152071207626"
"Bcry","GRMZM2G327199","0.0271004442232838"
"GRMZM2G170351","GRMZM2G081464","0.0270373557702605"
"GRMZM2G109547","GRMZM2G419267","0.0270255583596468"
"GRMZM2G128214","GRMZM2G472945","0.0269664215333387"
"GRMZM2G128214","GRMZM2G031568","0.0269427496803465"
"GRMZM2G174236","GRMZM2G057690","0.0269368757265785"
"GRMZM2G032222","GRMZM2G149230","0.0268889173547253"
"GRMZM2G149442","GRMZM2G082180","0.0268851885016666"
"GRMZM5G856837","GRMZM2G120069","0.0268267327423522"
"GRMZM2G151706","GRMZM2G035592","0.0267215167120911"
"GRMZM2G035592","GRMZM2G131907","0.026662748109094"
"GRMZM2G320298","GRMZM2G072850","0.0265932815243124"
"GRMZM2G377904","GRMZM2G135314","0.0265877808191345"
"GRMZM2G020594","GRMZM2G314546","0.0265662159004805"
"GRMZM2G340807","GRMZM2G375675","0.0265357049939851"
"GRMZM2G088834","GRMZM2G137375","0.0264037056804856"
"GRMZM2G020594","GRMZM2G052111","0.0262523407869238"
"GRMZM2G701389","GRMZM2G037335","0.0262326078132411"
"GRMZM2G166099","GRMZM2G047720","0.026225167282342"
"GRMZM2G108457","GRMZM2G394237","0.0261966765175122"
"GRMZM2G151706","GRMZM2G174236","0.0261768619460586"
"GRMZM2G067350","GRMZM2G042506","0.0261657391349322"
"GRMZM5G854880","GRMZM2G089565","0.0261523091304709"
"GRMZM2G036409","GRMZM2G174621","0.026100475421813"
"GRMZM2G137375","GRMZM2G314546","0.026079583968669"
"GRMZM2G108457","GRMZM2G021514","0.0260765604061221"
"GRMZM2G072850","GRMZM2G081464","0.0260658635543815"
"GRMZM2G429899","GRMZM2G042506","0.0260016759979932"
"GRMZM2G172794","GRMZM2G135314","0.0260014680923531"
"GRMZM2G012966","AC203754.4_FG008","0.0259666667913349"
"GRMZM2G089491","GRMZM5G871419","0.0259438516922482"
"GRMZM2G089491","GRMZM2G137375","0.0258728257785944"
"GRMZM2G036409","GRMZM2G472945","0.0258474363667135"
"Bcry","GRMZM2G377904","0.0258133601966737"
"GRMZM2G012966","GRMZM2G052111","0.0257668249923953"
"GRMZM2G301208","GRMZM2G042516","0.0257523884419439"
"GRMZM2G088919","GRMZM2G314546","0.0257407599811491"
"GRMZM2G042516","GRMZM2G072850","0.0257001358585783"
"GRMZM2G104955","GRMZM2G037335","0.0256781510759084"
"GRMZM2G137375","GRMZM2G170727","0.0256543372674538"
"GRMZM2G107609","GRMZM2G477340","0.0255395747406418"
"GRMZM2G101938","GRMZM2G151107","0.0255292768248047"
"GRMZM2G082180","GRMZM2G429899","0.0255169571462432"
"GRMZM2G035592","GRMZM2G174236","0.0254974180947106"
"GRMZM2G377904","GRMZM2G170727","0.0254373834955634"
"GRMZM2G362281","GRMZM2G031568","0.0254290744315545"
"GRMZM2G100727","GRMZM2G167492","0.0254211526629913"
"GRMZM2G377904","GRMZM2G301208","0.0254154810439115"
"GRMZM2G151107","GRMZM2G120069","0.0253805939342985"
"GRMZM2G460861","GRMZM2G157481","0.0253219112483186"
"GRMZM2G037335","GRMZM2G089565","0.0252830510103392"
"GRMZM2G037335","GRMZM2G131907","0.0252782209257939"
"GRMZM2G419267","GRMZM2G072850","0.0252491874941531"
"GRMZM2G082180","GRMZM2G128214","0.0252285302862298"
"GRMZM2G147145","GRMZM2G089565","0.0252145770463679"
"GRMZM2G701389","GRMZM2G438438","0.0252056410995349"
"GRMZM2G012966","GRMZM2G128214","0.0251523029660942"
"GRMZM2G100727","GRMZM2G109959","0.0250542552097504"
"GRMZM2G047720","GRMZM2G362281","0.0249444442792408"
"GRMZM2G152373","GRMZM2G089491","0.0249287301828429"
"AC","GRMZM2G172794","0.024910393831815"
"GRMZM2G109547","GRMZM2G327199","0.0248414434975054"
"GRMZM2G419267","GRMZM2G477340","0.0248105849562377"
"GRMZM2G174236","GRMZM2G081464","0.0248068182282678"
"GRMZM2G035592","GRMZM2G108919","0.0247497360373065"
"GRMZM2G701389","GRMZM2G375675","0.0247328980007007"
"GRMZM2G012966","GRMZM2G314546","0.0247048733339551"
"GRMZM2G037335","GRMZM2G089491","0.0246872788536799"
"GRMZM2G340807","GRMZM2G072850","0.0246512458505664"
"GRMZM2G170742","GRMZM2G047720","0.0245699748009651"
"GRMZM2G031568","GRMZM2G042488","0.0245525400384649"
"GRMZM2G438438","GRMZM2G057690","0.0245378879371004"
"GRMZM2G147145","GRMZM5G871419","0.0245355648898661"
"GRMZM2G472945","GRMZM2G126812","0.024523161575141"
"GRMZM2G104955","GRMZM2G174949","0.0245008977665636"
"GRMZM2G154078","GRMZM2G120069","0.0244412718111458"
"GRMZM2G082180","GRMZM2G174949","0.0244372778277713"
"GRMZM2G088834","GRMZM2G377904","0.0243745458635711"
"GRMZM2G108919","GRMZM2G089491","0.0243349432256913"
"GRMZM2G035592","GRMZM2G174621","0.024317267741253"
"GRMZM2G101938","GRMZM2G513713","0.0242713692997234"
"GRMZM2G460861","GRMZM2G301208","0.0242337610332118"
"GRMZM2G472945","GRMZM2G137375","0.0241356108704997"
"AC203754.4_FG008","GRMZM2G135314","0.0240640685491571"
"GRMZM2G042516","GRMZM2G120069","0.0238974930162079"
"GRMZM2G108457","GRMZM2G174236","0.0238944045645615"
"GRMZM5G838420","GRMZM2G017678","0.0238775663633666"
"GRMZM2G177169","GRMZM2G052111","0.0238242015294117"
"GRMZM2G174621","GRMZM2G375675","0.0236873133856699"
"GRMZM2G128214","GRMZM2G174949","0.0236817234416603"
"GRMZM2G102779","GRMZM2G152373","0.0236777697325601"
"GRMZM2G101938","GRMZM2G042516","0.0236566469650071"
"GRMZM2G167492","GRMZM2G042506","0.0236401655565262"
"GRMZM2G301208","GRMZM2G068575","0.0236369125649975"
"LUT","GRMZM2G109959","0.0235832140439746"
"GRMZM2G152135","GRMZM2G174621","0.0235352206972559"
"GRMZM2G472945","GRMZM2G052111","0.0235198742209748"
"GRMZM2G172794","GRMZM2G109959","0.0234758739107359"
"AC203754.4_FG008","GRMZM2G021514","0.0234479559337338"
"GRMZM2G037335","GRMZM2G154460","0.0234361318977446"
"GRMZM2G429899","GRMZM2G109547","0.0234355838894581"
"GRMZM2G109547","GRMZM2G167492","0.0234354697900879"
"GRMZM2G394237","GRMZM2G012498","0.0234299512846505"
"GRMZM2G031568","GRMZM2G028129","0.0234135899019113"
